ID,Comments
R32BKUR1JYFWNN,"To Buying a Printer we check brand, features, quality & warrenty in this Hp Deskjet printer initial cost of this printer is low as compare to operating cost. I purchase this printer for 2,499/- in Diwali Offer but cartridge price is very high when I want to change it is approximately 2500 for black and for colors. After making some jugaad's I try to refill there cartridges with watching some youtube videos. But lead to loss of printer head and leakeage of inks into printer. I personally recommend to buy inkjet or laserjet printer for better experience and long run for this initial cost is high but in future operating cost will be low.CAUTION: hp ink catridges are infamous for ink level reuction from 100% to 20% just after printing 5 color picture in glossy paperBEFORE BUYING THIS PRINTER CONSIDER THE ABOVE.THE RIDICULOUS REDUCTION IN INK LEVEL OCCURS DUE TOINK DRYING IN CATRIDGEOR DUE TO USING ALREADY USED COUNTERFEIT CATRIDGESMAJOR CAUSE IS INK DRYING, THAT WILL HAPPEN EVEN IF YOU BUY FROM OFFICIAL HP STOREALMOST 50% OF ALL HP INK CATRIDGES REVIEWS TELL THATSO IT MEANS 50% chance that you will recieve a catrige that will print 10 pages rather than 60 pagesIT IS BETTER IF YOU SEE THOSE REVIEWS FROM AMAZON YOURSELVES, INK COLOR 805, 805XL, TRI COLOR AND BLACKAfter printing 5 glossy paper color photo ink level of pre-installed catridges reduced from 100% to 20 %Photo print max resolution 1200 x 1200 dpiUses tri color hp 805 and black inkColor catrige are cheaper than canon but can print 1\5th that of other company catridgesDirect scan and print without pc....yes 600x300 dpiWireless...... NoSupport mobile printing...noUsb 2.0Pages suppoted.....A4; B5; A6; DL envelopeMedia types.....Plain paper, Photo paper, Brochure paperDuplex print....manualHp thermal inkjet printingCatridge and costHP 805 Tri-Color Original Ink Cartridge (~100 pages yield, in reality only 10 pages min to 50 pages max)HP 805XL Tri-Color High-Yield Original Ink Cartridge (~200 pages yield, in reality 10 pages min to 60 pages max)Comes with color and black catridges pre installed at 80%-100% ink levelsPaper feeder and roller can be cleaned manuallyPaper feeder max 60 page at a timePaper output 25 page maxPrint speed black (ISO)Up to 7.5 ppmPrint speed color (ISO)Up to 5.5 ppmAuto off....yesWt ....only 3 kgBorderless printingNo"
R3E7YWE1ALH6JF,"CAUTION: hp ink catridges are infamous for ink level reuction from 100% to 20% just after printing 5 color picture in glossy paperBEFORE BUYING THIS PRINTER CONSIDER THE ABOVE. THE RIDICULOUS REDUCTION IN INK LEVEL OCCURS DUE TOINK DRYING IN CATRIDGEOR DUE TO USING ALREADY USED COUNTERFEIT CATRIDGESMAJOR CAUSE IS INK DRYING, THAT WILL HAPPEN EVEN IF YOU BUY FROM OFFICIAL HP STOREALMOST 50% OF ALL HP INK CATRIDGES REVIEWS TELL THATSO IT MEANS 50% chance that you will recieve a catrige that will print 10 pages rather than 60 pagesIT IS BETTER IF YOU SEE THOSE REVIEWS FROM AMAZON YOURSELVES, INK COLOR 805, 805XL, TRI COLOR AND BLACKAfter printing 5 glossy paper color photo ink level of pre-installed catridges reduced from 100% to 20 %Photo print max resolution 1200 x 1200 dpiUses tri color hp 805 and black inkColor catrige are cheaper than canon but can print 1\5th that of other company catridgesDirect scan and print without pc....yes 600x300 dpiWireless...... NoSupport mobile printing...noUsb 2.0Pages suppoted.....A4; B5; A6; DL envelope Media types.....Plain paper, Photo paper, Brochure paperDuplex print....manualHp thermal inkjet printingCatridge and costHP 805 Tri-Color Original Ink Cartridge (~100 pages yield, in reality only 10 pages min to 50 pages max)HP 805XL Tri-Color High-Yield Original Ink Cartridge (~200 pages yield, in reality 10 pages min to 60 pages max)Comes with color and black catridges pre installed at 80%-100% ink levelsPaper feeder and roller can be cleaned manuallyPaper feeder max 60 page at a timePaper output 25 page max Print speed black (ISO)Up to 7.5 ppmPrint speed color (ISO)Up to 5.5 ppmAuto off....yesWt ....only 3 kg Borderless printingNo"
R3ISJ8CCMTYJ6J,1) In every 2 to 3 months you need to change cartridge2) refill the cartridge repeatedly3) while refilling colour spread in your hands on table4) Youtuber says caterer issue will be resolve but that's not fact.5) you can't connect ink tank in this printer.6) colour print is not appropriate according to the HP shows in the advertisement
R1A4W90ISK1SSC,Best for home use
R38KWTP9XS2O0X,"reduced 2 starts because sometimes the print colour is not the colour we want especially ivory and all.too much ink usage when printing black pics like a blackboard on pic and paper is kinda hard to insert, Other ways the printer is satisfied for emergency use.note : i didn't try scanner yet"
R1C2W2X86QGLBP,Nice product.
RB75Y0Z2N5RVY,Black cartridge emptied after printing 23 pages
R37H79FGVNLI6U,We have purchased many things from AMAZON. No defects or problem Hence there is no option to say dislikeTechnical support does not arise
R3D35GUVV46MI0,"It is seems like good, once you bought you will face ink consumable and ink cost will be compensated within 5 month, Ho ink cost -850(around), just image of theses things, and if you consider 3rd party ink, that will spoil your printer, Most importantly last April '22 I bought, This March it got mind issue it is not working properly, think before buy, inkjet printers"
R1M7QTLUY0V2WQ, All over the printer is good for home use except the ink cartridge but you can watch the tutorials on YOUTUBE........how to fill ink cartridge.....👍
